browser,month,mobile,tablet,alldevices
Android ,1,11836,1660,13496
Android ,2,11475,1739,13214
Android ,3,11877,1806,13683
Android ,4,11706,1682,13388
Android ,5,11214,1547,12761
Android ,6,9389,1363,10752
Android ,7,16062,2028,18090
Android ,8,14980,1702,16682
Android ,9,12694,1638,14332
Android ,10,16964,1781,18745
Android ,11,20920,1902,22822
Android ,12,16362,1725,18087
Chrome,1,53774,6980,60754
Chrome,2,49569,6625,56194
Chrome,3,57560,7076,64636
Chrome,4,55036,5930,60966
Chrome,5,52627,5813,58440
Chrome,6,55334,5596,60930
Chrome,7,67106,6561,73667
Chrome,8,62803,6058,68861
Chrome,9,43882,4642,48524
Chrome,10,44686,4606,49292
Chrome,11,44215,4486,48701
Chrome,12,44931,4815,49746
